zip_code,first_dose,second_dose,single_dose,atleast_one_dose,fully_vaccinated,todays_date
20011,7286,4852,551,7837,5403,2021-11-18
20009,5105,3766,714,5819,4480,2021-11-18
20002,5181,3745,589,5770,4334,2021-11-18
20019,5184,3418,254,5438,3672,2021-11-18
20001,4135,3041,486,4621,3527,2021-11-18
20016,4866,3016,435,5301,3451,2021-11-18
20008,4146,2868,433,4579,3301,2021-11-18
20010,3060,2278,329,3389,2607,2021-11-18
20015,3763,2320,228,3991,2548,2021-11-18
20020,3592,2321,204,3796,2525,2021-11-18
17331,2538,2117,250,2788,2367,2021-11-18
20007,2916,1963,313,3229,2276,2021-11-18
20003,2637,1859,331,2968,2190,2021-11-18
17268,1829,1525,302,2131,1827,2021-11-18
20032,2581,1622,175,2756,1797,2021-11-18
20012,2804,1634,155,2959,1789,2021-11-18
17225,1664,1421,243,1907,1664,2021-11-18
20017,2243,1368,135,2378,1503,2021-11-18
19975,1971,1372,104,2075,1476,2021-11-18
20018,2015,1185,130,2145,1315,2021-11-18
25419,1441,1128,182,1623,1310,2021-11-18
19702,1522,1239,67,1589,1306,2021-11-18
19940,1406,1145,130,1536,1275,2021-11-18
17314,1267,1006,232,1499,1238,2021-11-18
22201,1421,1036,151,1572,1187,2021-11-18
